工号,姓名,考勤时间,是否迟到
000001,陈俊宗,2023-04-07 07:24:49.838129,已到
000002,黄秋生,2023-03-27 10:02:43.037398,迟到
000003,赵丽颖,2023-04-01 20:14:59.952757,迟到
000004,王一博,2023-03-24 18:44:55.124544,迟到
000005,古天乐,2023-04-02 09:17:18.284468,迟到
000006,张家辉,2023-04-02 09:18:54.452474,迟到
000007,孙笑川,2023-03-19 12:34:39.718920,迟到
000008,鹿晗,,未到
000009,肖战,2023-04-02 21:06:37.281344,迟到
000010,吴京,2023-04-02 21:04:10.800181,迟到
000011,丁真,2023-04-01 18:57:46.682759,迟到
000012,王祖蓝,2023-04-02 09:15:37.915433,迟到
000013,贾玲,2023-04-01 18:47:12.386646,迟到
000014,邓超,2023-03-27 10:07:11.502938,迟到
000015,郑爽,2023-04-01 09:29:32.144942,迟到
000016,周星驰,,未到
000017,周润发,2023-04-01 20:13:09.812707,迟到
000018,刘德华,,未到
000019,刘嘉玲,,未到
000020,吴莫愁,,未到
000021,梁朝伟,2023-04-01 09:10:33.908084,迟到
000022,张学友,2023-04-02 09:19:12.162256,迟到
000023,黎明,2023-04-02 09:19:16.554354,迟到
000024,林志玲,,未到
000025,王力宏,2023-04-01 17:33:36.776805,迟到
000026,刘亦菲,2023-04-01 16:59:58.854645,迟到
000027,李易峰,2023-04-02 21:04:29.648928,迟到
000028,陈睿,,未到
000029,陈奕迅,2023-04-02 21:06:14.869062,迟到
000030,汤唯,,未到
000031,李其东,2023-04-01 20:13:20.757093,迟到
