工号,姓名,考勤时间,是否迟到
000001,陈俊宗,2023-04-22 15:17:31.236042,迟到
000002,黄秋生,2023-04-22 15:17:44.554466,迟到
000003,赵丽颖,,未到
000004,王一博,,未到
000005,古天乐,,未到
000006,张家辉,,未到
000007,孙笑川,,未到
000008,鹿晗,,未到
000009,肖战,,未到
000010,吴京,,未到
000011,丁真,,未到
000012,王祖蓝,2023-04-22 15:17:37.750766,迟到
000013,贾玲,,未到
000014,邓超,,未到
000015,郑爽,,未到
000016,周星驰,,未到
000017,周润发,,未到
000018,刘德华,,未到
000019,刘嘉玲,,未到
000020,吴莫愁,,未到
000021,梁朝伟,,未到
000022,张学友,,未到
000023,黎明,,未到
000024,林志玲,,未到
000025,王力宏,,未到
000026,刘亦菲,,未到
000027,李易峰,,未到
000028,陈睿,,未到
000029,陈奕迅,,未到
000030,汤唯,,未到
000031,魏俊东,,未到
000032,李其东,,未到
